time,temperature,humidity
2024-01-08 22:13:34.317960,22.9,45.3
2024-01-08 22:14:34.323973,22.8,45.5
2024-01-08 22:15:34.328802,22.7,45.2
2024-01-08 22:16:34.333529,22.6,45.3
2024-01-08 22:17:34.338855,22.5,45.6
2024-01-08 22:18:34.343901,22.5,45.9
2024-01-08 22:19:34.349113,22.4,45.8
2024-01-08 22:20:34.353649,22.3,46
2024-01-08 22:21:34.358571,22.3,46
2024-01-08 22:22:34.363672,22.2,46.1
2024-01-08 22:23:34.369996,22.2,46.2
2024-01-08 22:24:34.375075,22.1,46.2
2024-01-08 22:25:34.379544,22.1,46.4
2024-01-08 22:26:34.384217,22.1,46.4
2024-01-08 22:27:34.388472,22.1,46.5
2024-01-08 22:28:34.393788,22.1,46.5
2024-01-08 22:29:34.398280,22,46.6
2024-01-08 22:30:34.402751,22,46.6
2024-01-08 22:31:34.408149,22,46.7
2024-01-08 22:32:34.412874,22,46.7
2024-01-08 22:33:34.417964,22,46.7
2024-01-08 22:34:34.422583,22,46.8
2024-01-08 22:35:34.427718,22,46.9
2024-01-08 22:36:34.432524,22,46.8
2024-01-08 22:37:34.436761,22,46.8
2024-01-08 22:38:34.441466,22,46.9
2024-01-08 22:39:34.445868,21.9,46.8
2024-01-08 22:40:34.450754,21.9,46.8
2024-01-08 22:41:34.455271,22,47.6
2024-01-08 22:42:34.460131,22.1,47
2024-01-08 22:43:34.462491,22.2,47.1
2024-01-08 22:44:34.467260,22.2,46.9
2024-01-08 22:45:34.471874,22.3,46.6
2024-01-08 22:46:34.476282,22.5,46.8
2024-01-08 22:47:34.481036,22.5,46.3
2024-01-08 22:48:34.485617,22.4,46.3
2024-01-08 22:49:34.490489,22.3,46.4
2024-01-08 22:50:34.494850,22.5,47.9
2024-01-08 22:51:34.499478,22.5,46.6
2024-01-08 22:52:34.504382,22.5,46.2
2024-01-08 22:53:34.509392,22.6,46.4
2024-01-08 22:54:34.513809,22.6,45.9
2024-01-08 22:55:34.519085,22.5,46
2024-01-08 22:56:34.524180,22.5,46.1
2024-01-08 22:57:34.529089,22.3,47
2024-01-08 22:58:34.533420,22.3,46.7
2024-01-08 22:59:34.537903,22.2,47.1
2024-01-08 23:00:34.542725,22.2,46.7
2024-01-08 23:01:34.546937,22.2,47
2024-01-08 23:02:34.551796,22.2,46.8
